Name,State,Value,Number_of_Observations_POR,Percentile_POR
Emigrant Springs,OR,0.0,44,9.090909090909092
Rough And Tumble,CO,1.0,26,3.8461538461538463
Lone Pine,WA,9.8,44,9.090909090909092
Anchor River Divide,AK,6.8,33,27.27272727272727
Mountain Meadows,ID,9.0,44,4.545454545454546
Albro Lake,MT,9.7,28,35.714285714285715
Moose Creek,ID,8.0,41,14.634146341463413
Independence Lake,CA,16.6,46,32.608695652173914
Pine Creek,UT,4.4,39,0.0
Porphyry Creek,CO,7.4,46,19.565217391304348
Many Glacier,MT,1.9,48,2.083333333333333
Blue Mountain Spring,OR,4.5,46,0.0
Thaynes Canyon,UT,8.1,36,0.0
Park Creek Ridge,WA,23.8,46,21.73913043478261
Long Flat,UT,0.2,44,4.545454545454546
Paradise,WA,19.0,42,7.142857142857142
Hawkins Lake,MT,17.2,56,46.42857142857143
Cole Creek,MT,2.6,50,0.0
Hyndman,ID,8.4,44,63.63636363636363
Middle Powder,WY,3.8,46,6.521739130434782
Red Mountain Pass,CO,6.7,44,2.272727272727273
Fish Lake,WA,8.7,41,2.4390243902439024
Rock Creek,UT,2.1,44,4.545454545454546
North Lost Trail,CO,6.0,39,7.6923076923076925
Never Summer,CO,7.8,22,0.0
Lily Lake,UT,4.4,43,0.0
Ivanhoe,CO,6.0,33,0.0
Sheep Canyon,WA,8.6,41,7.317073170731707
Taylor Canyon,NV,0.0,44,6.8181818181818175
Chalk Creek #1,UT,8.0,46,0.0
Sheep Mtn.,ID,4.5,41,2.4390243902439024
Trinchera,CO,3.4,35,11.428571428571429
Kendall R.S.,WY,9.1,39,69.23076923076923
Bigelow Camp,OR,0.2,43,4.651162790697675
Surprise Lakes,WA,11.2,45,6.666666666666667
Divide,MT,4.2,49,6.122448979591836
Bear River,CO,3.1,20,0.0
Phantom Valley,CO,3.9,44,4.545454545454546
Northeast Entrance,MT,5.8,58,27.586206896551722
Stump Lakes,CO,5.1,38,10.526315789473683
Sasse Ridge,WA,7.8,40,2.5
Munson Ridge,AK,6.0,44,59.09090909090909
Island Park,ID,5.9,43,0.0
Farmington,UT,9.5,46,0.0
Horse Meadow,CA,9.4,21,28.57142857142857
Rex River,WA,5.7,29,10.344827586206897
Long Valley,ID,1.5,23,0.0
Bear Lake,CO,7.8,44,25.0
Tipton,OR,3.2,44,2.272727272727273
Big Sandy Opening,WY,7.2,43,25.581395348837212
Marion Forks,OR,0.1,44,6.8181818181818175
Secesh Summit,ID,16.4,43,23.25581395348837
Ochoco Meadows,OR,1.1,44,2.272727272727273
Lake Eldora,CO,3.9,46,8.695652173913043
Upper Wheeler,WA,2.9,43,0.0
Old Battle,WY,14.4,44,15.909090909090908
Dupuyer Creek,MT,0.3,41,0.0
Beaver Dams,UT,2.5,44,0.0
Sylvan Road,WY,6.7,37,27.027027027027028
Bear Trap Meadow,WY,3.2,44,22.727272727272727
Strawberry Divide,UT,4.0,45,2.2222222222222223
Granite Crk,AK,2.8,36,41.66666666666667
White Elephant,ID,11.6,42,11.904761904761903
Senorita Divide #2,NM,1.3,44,4.545454545454546
Diamond Peak,NV,0.9,41,2.4390243902439024
Michigan Creek,CO,2.8,26,0.0
Overland Res.,CO,3.4,35,2.857142857142857
Mount Crag,WA,6.1,34,5.88235294117647
Roach,CO,5.4,44,2.272727272727273
Daisy Peak,MT,4.6,29,17.24137931034483
Grayback,CO,2.8,20,15.0
Blazed Alder,OR,4.8,43,4.651162790697675
Smith  Morehouse,UT,3.3,46,0.0
Independence Pass,CO,4.8,44,0.0
Bloody Dick,MT,5.9,48,14.583333333333334
Moss Springs,OR,7.7,44,2.272727272727273
Van Wyck,ID,0.4,23,0.0
Dry Lake,CO,9.1,44,9.090909090909092
Cool Creek,ID,18.9,39,7.6923076923076925
Buckskin Joe,CO,2.3,25,0.0
Independence Creek,CA,4.8,44,25.0
Bunchgrass Mdw,WA,9.2,42,0.0
Graham Guard Sta.,ID,3.7,44,0.0
Spratt Creek,CA,1.3,44,18.181818181818183
Sand Lake,WY,12.0,42,2.380952380952381
Mcknight Cabin,NM,0.1,21,14.285714285714285
Brackett Creek,MT,10.4,30,20.0
Mesa Lakes,CO,4.3,38,2.631578947368421
Clear Lake,OR,0.1,44,4.545454545454546
Moonshine,ID,6.0,43,34.883720930232556
Bald Mtn.,WY,12.1,46,56.52173913043478
Pickfoot Creek,MT,1.0,46,0.0
Mining Fork,UT,3.0,36,0.0
Spirit Lake,WA,0.2,40,25.0
Chalk Creek #2,UT,5.4,46,4.3478260869565215
Cascade Summit,OR,6.2,44,0.0
Deer Park,WY,9.8,26,65.38461538461539
Blue Lakes,CA,10.7,44,22.727272727272727
Blind Park,SD,3.9,34,26.47058823529412
Slug Creek Divide,ID,8.5,44,25.0
Little Bear,UT,1.6,46,0.0
Summit Meadow,CA,10.2,21,42.857142857142854
Irish Taylor,OR,7.1,45,0.0
Two Ocean Plateau,WY,23.7,44,79.54545454545455
Independence Camp,CA,9.4,46,36.95652173913043
