Name,State,Value,Number_of_Observations_POR,Percentile_POR
Windy Peak,WY,6.6000000000000005,42,45.23809523809524
Mt. Alyeska,AK,22.1,38,13.157894736842104
Hewinta,UT,7.6,39,10.256410256410255
Little Warm,WY,12.5,46,86.95652173913044
Thumb Divide,WY,18.599999999999998,37,86.48648648648648
White Horse Lake,AZ,12.9,44,56.81818181818182
Mosby Mtn.,UT,7.199999999999999,46,30.434782608695656
Middle Creek,CO,13.299999999999999,44,34.090909090909086
Lost-Wood Divide,ID,19.400000000000002,43,79.06976744186046
Poorman Creek,MT,57.6,26,92.3076923076923
Susitna Valley High,AK,9.0,37,56.75675675675676
White River #1,UT,8.1,45,24.444444444444443
St. Lawrence Alt,WY,5.9,41,65.85365853658537
Clear Lake,OR,25.4,44,43.18181818181818
Vail Mountain,CO,9.2,46,8.695652173913043
Midway Valley,UT,20.0,43,65.11627906976744
Fawn Creek,NV,11.5,44,13.636363636363635
Rough And Tumble,CO,3.6999999999999997,26,26.923076923076923
Chalk Creek #2,UT,12.6,46,54.347826086956516
Lamance Creek,NV,15.5,44,52.27272727272727
Pine Creek Pass,ID,16.400000000000002,36,50.0
Hemlock Butte,ID,36.599999999999994,41,53.65853658536586
Blackwater,WY,24.2,43,97.67441860465115
Blazed Alder,OR,85.7,44,77.27272727272727
Marlette Lake,NV,21.3,46,52.17391304347826
Schwartz Lake,ID,10.6,29,82.75862068965517
Mt. Howard,OR,18.9,44,34.090909090909086
Lakefork #1,UT,11.2,46,67.3913043478261
Lightning Ridge,UT,17.5,20,55.00000000000001
N Fk Elk Creek,MT,18.6,46,100.0
Lyman Lake,WA,60.2,42,78.57142857142857
Ebbetts Pass,CA,36.0,46,50.0
Dry Bread Pond,UT,16.099999999999998,46,63.04347826086957
Hardscrabble,UT,18.4,31,35.483870967741936
Shower Falls,MT,19.599999999999998,46,84.78260869565217
Frohner Meadow,MT,13.200000000000001,46,100.0
Tony Grove Lake,UT,31.5,46,65.21739130434783
Anchor River Divide,AK,7.200000000000001,27,14.814814814814813
Widtsoe #3,UT,9.0,46,36.95652173913043
Boulder Mountain,MT,20.6,46,91.30434782608695
Huckleberry Creek,WA,40.7,27,96.29629629629629
Cozy Cove,ID,19.7,44,59.09090909090909
Buckskin Lower,NV,11.5,44,43.18181818181818
Long Flat,UT,9.4,44,61.36363636363637
Barker Lakes,MT,14.8,44,97.72727272727273
Stump Lakes,CO,12.400000000000002,38,34.21052631578947
Aneroid Lake #2,OR,23.6,44,56.81818181818182
Sheep Mtn.,ID,12.0,43,51.162790697674424
Hawkins Lake,MT,32.0,37,97.2972972972973
Never Summer,CO,8.0,22,13.636363636363635
Red Pine Ridge,UT,10.700000000000001,46,17.391304347826086
Lake Creek R.S.,OR,12.5,43,30.23255813953488
Lick Creek,MT,11.8,46,82.6086956521739
Smith  Morehouse,UT,13.299999999999999,46,58.69565217391305
Bald Mtn.,WY,12.1,46,63.04347826086957
Granite Creek,WY,19.0,37,81.08108108108108
King Mountain,OR,26.900000000000002,44,15.909090909090908
Banfield Mountain,MT,26.8,37,86.48648648648648
Sucker Creek,WY,9.6,46,58.69565217391305
Independence Camp,CA,26.2,46,73.91304347826086
Wells Creek,WA,58.6,29,86.20689655172413
Chalk Creek #1,UT,15.900000000000002,46,36.95652173913043
Roaring River,OR,35.099999999999994,44,27.27272727272727
Divide Peak,WY,11.600000000000001,44,9.090909090909092
Swede Peak,ID,16.700000000000003,43,81.3953488372093
Onion Park,MT,15.0,23,86.95652173913044
Independence Creek,CA,25.0,44,68.18181818181817
Sage Creek Basin,WY,7.4,23,13.043478260869565
Coronado Trail,AZ,8.0,44,52.27272727272727
Wilson Creek,ID,11.5,34,23.52941176470588
Lucky Strike,OR,12.7,46,32.608695652173914
Tower,CO,25.8,45,26.666666666666668
Emigrant Springs,OR,16.5,44,27.27272727272727
Forestdale Creek,CA,36.4,21,66.66666666666666
Santa Fe,NM,7.3,28,14.285714285714285
Brumley,CO,5.9,44,2.272727272727273
Swamp Creek,WA,42.1,25,100.0
Columbine,CO,16.3,45,17.77777777777778
Temple Fork,UT,15.4,22,59.09090909090909
Harts Pass,WA,40.7,41,82.92682926829268
Peterson Meadows,MT,12.1,26,92.3076923076923
Lolo Pass,ID,35.0,41,92.6829268292683
North Lost Trail,CO,12.2,39,15.384615384615385
South Colony,CO,12.0,33,30.303030303030305
Daly Creek,MT,18.2,44,100.0
Summit Creek,AK,10.5,35,40.0
Fry,AZ,14.100000000000001,44,56.81818181818182
Schofield Pass,CO,17.7,39,20.51282051282051
Hickerson Park,UT,4.6,39,15.384615384615385
Signal Peak,NM,9.1,44,47.72727272727273
Mining Fork,UT,16.8,36,52.77777777777778
Peavine Ridge,OR,38.900000000000006,43,46.51162790697674
Grouse Creek Divide,AK,19.900000000000002,32,18.75
Big Creek Summit,ID,27.8,43,55.81395348837209
University Camp,CO,15.0,46,54.347826086956516
South Fork Bull Run,OR,76.69999999999999,27,55.55555555555556
Bear Basin,ID,19.2,42,52.38095238095239
South Pass,WY,11.399999999999999,39,51.28205128205128
Rice Park,NM,4.6000000000000005,26,15.384615384615385
June Lake,WA,117.60000000000001,42,57.14285714285714
Old Battle,WY,23.700000000000003,44,36.36363636363637
Glen Cove,CO,6.2,20,50.0
Willow Creek,WY,26.700000000000003,44,61.36363636363637
Kirwin,WY,17.0,44,97.72727272727273
Starr Ridge,OR,8.5,44,22.727272727272727
Truckee #2,CA,27.9,44,68.18181818181817
Vernon Creek,UT,7.7,46,15.217391304347828
Crowder Flat,CA,9.0,25,48.0
Madison Butte,OR,7.3,44,15.909090909090908
Baker Butte,AZ,18.0,44,68.18181818181817
Css Lab,CA,44.3,41,51.21951219512195
Mt. Ryan,AK,4.6000000000000005,40,57.49999999999999
Sierra Blanca,NM,9.6,22,45.45454545454545
Ivanhoe,CO,8.700000000000001,33,0.0
Trial Lake,UT,16.7,46,45.65217391304348
Eilertson Meadows,OR,17.400000000000002,44,63.63636363636363
Merchant Valley,UT,7.699999999999999,44,13.636363636363635
Stahl Peak,MT,35.6,46,86.95652173913044
Flattop Mtn.,MT,51.199999999999996,46,100.0
Mount Lockhart,MT,32.2,46,100.0
Elk River,CO,13.5,46,28.26086956521739
Annie Springs,OR,33.300000000000004,24,25.0
Port Graham,AK,24.5,22,18.181818181818183
Magic Mountain,ID,12.299999999999999,44,6.8181818181818175
Box Creek,UT,5.6000000000000005,44,6.8181818181818175
Big Goose,WY,5.999999999999999,26,61.53846153846154
Mt Hood Test Site,OR,65.4,44,52.27272727272727
Surprise Lakes,WA,77.0,44,72.72727272727273
Salt River Summit,WY,14.5,43,79.06976744186046
Crystal Lake,MT,13.9,46,76.08695652173914
Emigrant Summit,ID,21.099999999999998,44,61.36363636363637
Mt Rose Ski Area,NV,41.300000000000004,44,63.63636363636363
Hams Fork,WY,10.6,39,84.61538461538461
Brooklyn Lake,WY,16.8,44,52.27272727272727
Clover Meadow,MT,11.0,46,41.30434782608695
Beagle Springs,MT,10.100000000000001,46,95.65217391304348
Jackson Peak,ID,26.599999999999998,43,55.81395348837209
North French Creek,WY,20.1,46,43.47826086956522
Skalkaho Summit,MT,22.700000000000003,44,93.18181818181817
Indian Creek,WY,17.599999999999998,44,68.18181818181817
Galena,ID,18.099999999999998,43,79.06976744186046
Buffalo Park,CO,8.4,29,6.896551724137931
Lone Pine,WA,66.89999999999999,41,58.536585365853654
Box Canyon,MT,15.3,46,97.82608695652173
Hilts Creek,ID,14.0,43,90.69767441860465
Maverick Fork,AZ,8.1,44,31.818181818181817
Willow Creek Pass,CO,7.9,46,26.08695652173913
Lakeview Ridge,MT,14.4,46,89.13043478260869
Trinchera,CO,2.3,35,0.0
Lookout,ID,36.800000000000004,44,72.72727272727273
Webster Flat,UT,17.599999999999998,44,75.0
Lewis Lake Divide,WY,34.099999999999994,44,81.81818181818183
Green Lake,WA,33.099999999999994,42,95.23809523809523
Graham Guard Sta.,ID,20.8,44,75.0
Farmington,UT,24.599999999999998,46,43.47826086956522
New Fork Lake,WY,11.5,37,91.8918918918919
Thunder Basin,WA,57.800000000000004,36,91.66666666666666
Diamond Lake,OR,22.900000000000002,44,18.181818181818183
Canyon,WY,13.7,44,75.0
Kelley R.S.,WY,14.500000000000002,43,69.76744186046511
Bettles Field,AK,4.1000000000000005,41,29.268292682926827
Schweitzer Basin,ID,36.7,43,72.09302325581395
